Center of the cluster (IPC code),Field of Knowledge,Member of the cluster (IPC code),Name of the IPC code,,,,,,,
,,B24B,"Machines, devices, or processes for grinding or
polishing; Dressing or conditioning of abrading
surfaces; Feeding of grinding, polishing, or
lapping agents",,,,,,,
,,B24D,"Tools for grinding, buffing or sharpening",,,,,,,
,,B28D,Working stone or stone-like materials ,,,,,,,
B25B,Other Machine Tools,B25B,"Tools or bench devices not otherwise provided for,
for fastening, connecting, disengaging, or holding",,,,,,,
,,B25F,Combination or multi-purpose tools not otherwise provided for; Details or components of portable power-driven tools not particularly related to the operations performed and not otherwise provided for,,,,,,,
,,B25G,Handles for hand implements ,,,,,,,
,,B25H,"Workshop equipment, e.g. for marking-out work;
Storage means for workshops ",,,,,,,
B26B,Hand Held Cutting Tools,B26B,Hand-held cutting tools not otherwise provided for,,,,,,,
B26D,Cutting Non-metallic Material Tools,B26D,"Cutting; Details common to machines
for perforating, punching, cutting-out, stamping-
out or severing ",,,,,,,
,,B26F,Perforating; Punching; Cutting-out; Stamping-out; Severing by means other than cutting,,,,,,,
B27B,Saws and their Components,B23D,"Planing; Slotting; Shearing; Broaching; Sawing;
Filing; Scraping; Like operations for working
metal by removing material, not otherwise
provided for",,,,,,,
,,B27B,Saws for wood or similar material; Components or accessories therefor ,,,,,,,
,,B27G,"Accessory machines or apparatus for working
wood or similar materials; Tools for working wood
or similar materials; Safety devices for wood
working machines or tools",,,,,,,
,,B27L,"Removing bark or vestiges of branches; Splitting
wood; Manufacture of veneer, wooden sticks,
wood shavings, wood fibres or wood powder",,,,,,,
B27F,Nailing and Stapling,B25C,Hand-held nailing or stapling tools,,,,,,,
,,B27C,"Planing, drilling, milling, turning, or universal machines",,,,,,,
,,B27F,Dovetailed work; slotting machines; nailing or stapling machines,,,,,,,
B27M,Working of Wood or Similar Materials,B27H,Bending; cooperage; wheel-making,,,,,,,
,,B27M,Working of wood not provided for; manufacture of specific wooden articles,,,,,,,
B27K,Wood Treatment,B27K,"Processes, apparatus or selection of substances for impregnating, staining, dyeing or bleaching of wood, or for treating of wood with permeant liquids, not otherwise provided for; Chemical or physical treatment of cork, cane, reed, straw or similar materials ",,,,,,,
B29C,Shaping or Joining of Plastics,B29B,"Preparation or pretreatment of the material to be
shaped; Making granules or preforms; Recovery of plastics or other constituents of waste material
containing plastics",,,,,,,
,,B29C,"Shaping or joining of plastics; Shaping of material
in a plastic state, not otherwise provided for; After- treatment of the shaped products, e.g. repairing",,,,,,,
,,B29D,Producing particular articles from plastics or from substances in a plastic state,,,,,,,
,,B29K,"Indexing scheme associated with subclasses B29B
, B29C Or B29D , relating to moulding materials
or to materials for reinforcements, fillers or
preformed parts, e.g. inserts ",,,,,,,
,,B29L,"Indexing scheme associated with subclass B29C ,
relating to particular articles ",,,,,,,
,,B33Y,"Additive manufacturing, i.e. manufacturing of three-dimensional objects by additive deposition",,,,,,,
,,B44B,"Machines, apparatus or tools for artistic work, e.g.
for sculpturing, guilloching, carving, branding or inlaying",,,,,,,
,,D04C,"Braiding or manufacture of lace, including bobbin-
net or carbonised lace; Braiding machines; Braid;
Lace",,,,,,,
,,D06J,"Pleating, kilting, or goffering textile fabrics or wearing apparel",,,,,,,
,,D07B,Ropes or cables in general,,,,,,,
B32B,"Mechanical processing of textiles, leader, layered products",B27D,Working veneer or plywood,,,,,,,
,,B31F,Mechanical working or deformation of paper or cardboard,,,,,,,
,,B32B,"Layered products, i.e. products built-up of strata of flat or non-flat",,,,,,,
,,B68F,"Making articles from leather, canvas, or the like",,,,,,,
,,D04H,Making textile fabrics,,,,,,,
,,D06N,"Wall, floor, or like covering materials",,,,,,,
,,D06Q,Decorating textiles,,,,,,,
B41C,Creation of Printing Surfaces and Plates,B41C,"Processes for the manufacture or reproduction of
printing surfaces",,,,,,,
,,B41D,Apparatus for the mechanical reproduction of printing surfaces for…,,,,,,,
,,B41N,"Printing plates or foils; Materials for surfaces used
in printing machines for printing, inking, damping,
or the like; Preparing such surfaces for use or
conserving them",,,,,,,
B41F,Printing Machine,B41F,Printing machines or presses ,,,,,,,
,,B41G,"Apparatus for bronze printing, line printing, or for bordering or edging sheets or like articles;
Auxiliary apparatus for perforating in conjunction
with printing",,,,,,,
,,B41L,"Apparatus or devices for manifolding, duplicating,
or printing for office or other commercial
purposes; Addressing machines or like series-
printing machines",,,,,,,
B41J,"Type Writers, Photoelectronic Composing and Selctive Printing Mechanisms",B41J,Typewriters; selective printing mechanisms,,,,,,,
,,B41M,"Printing, duplicating, marking, or copying processes; colour printing",,,,,,,
,,G03G,Electrography; electrophotography; magnetography,,,,,,,
B42F,Files attachement and indexing,B42F,Sheets temporarily attached together; filing appliances; file cards; indexing,,,,,,,
B43K,Implements for writing,B43K,Implements for writing or drawing,,,,,,,
B44F,Decorative Effects,B42D,Books; book covers; loose leaves; printed matter of special fromat or style,,,,,,,
,,B44C,"Producing decorative effects; Mosaics; Tarsia
work; Paperhanging",,,,,,,
,,B44F,Special designs or pictures,,,,,,,
B60B,Vehicle wheels,B60B,Vehilce wheels; castors; axles; increasing wheel adhension,,,,,,,
B60K,Arrangement or Mounting of Propulsion Units or of Transmissions in Vehicles,B60K,"Arrangement or mounting of propulsion units or of transmissions in vehicles; Arrangement or
mounting of plural diverse prime-movers in
vehicles; Auxiliary drives for vehicles;
Instrumentation or dashboards for vehicles;
Arrangements in connection with cooling, air
intake, gas exhaust or fuel supply of propulsion
units in vehicles",,,,,,,
,,B60L,"Propulsion of electrically-propelled vehicles;
Supplying electric power for auxiliary equipment
of electrically-propelled vehicles; Electrodynamic
brake systems for vehicles in general; Magnetic suspension or levitation for vehicles; Monitoring
operating variables of electrically-propelled
vehicles; Electric safety devices for electrically-
propelled vehicles",,,,,,,
,,B60W,"Conjoint control of vehicle sub-units of different
type or different function; Control systems
specially adapted for hybrid vehicles; Road
vehicle drive control systems for purposes not
related to the control of a particular sub-unit",,,,,,,
,,F16H,Gearing .,,,,,,,
,,G05G,"Control devices or systems insofar as characterised
by mechanical features only",,,,,,,
B60S,Vehicle servicing,B60S,"Servicing, cleaning, repairing, supporting, lifting, or manoeuvring of vehicles ",,,,,,,
B60T,Vehicle Brake Control Systems or Parts thereof,B60T,"Vehicle brake control systems or parts thereof;
Brake control systems or parts thereof, in general; Arrangement of braking elements on vehicles in
general; Portable devices for preventing unwanted movement of vehicles; Vehicle modifications to
facilitate cooling of brakes",,,,,,,
,,B61H,"Brakes or other retarding apparatus peculiar to rail vehicles; Arrangements or dispositions of brakes
or other retarding apparatus in rail vehicles",,,,,,,
,,F16D,Couplings for transmitting rotation; Clutches; Brakes,,,,,,,
B60V,Air Cushion Vehicles,B60V,Air-cushion vehicles ,,,,,,,
B61F,Locomotives (incl. parts),B61C,Locomotives; Motor railcars,,,,,,,
,,B61D,Body details or kinds of railway vehicles ,,,,,,,
,,B61F,"Rail vehicle suspensions, e.g. underframes, bogies
or arrangements of wheel axles; Rail vehicles for
use on tracks of different width; Preventing
derailing of rail vehicles; Wheel guards,
obstruction removers or the like for rail vehicles",,,,,,,
,,B61G,"Couplings specially adapted for railway vehicles;
Draught or buffing appliances specially adapted
for railway vehicles",,,,,,,
B61K,"Auxilary Equipmet for Railways (guiding traffic, etc.)",B61K,Other auxiliary equipment for railways,,,,,,,
,,B61L,"Guiding railway traffic; Ensuring the safety of
railway traffic",,,,,,,
,,E01B,"Permanent way; Permanent-way tools; Machines
for making railways of all kinds",,,,,,,
B62C,Vehicles Drawn by Animals,B62C,Vehicles drawn by animals,,,,,,,
B62D,Motor Vehicles and Trailers and parts thereof,B60D,Vehicle connections,,,,,,,
,,B60F,"Vehicles for use both on rail and on road; Vehicles
capable of travelling in or on different media, e.g. amphibious vehicles",,,,,,,
,,B60J,"Windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles",,,,,,,
,,B60P,"Vehicles adapted for load transportation or to
transport, to carry, or to comprise special loads or objects",,,,,,,
,,B60R,"Vehicles, vehicle fittings, or vehicle parts",,,,,,,
,,B62D,Motor vehicles; Trailers,,,,,,,
B62K,"Cycles, and Cycle Parts and Accessories (eg locks)",B62H,"Cycle stands; Supports or holders for parking or
storing cycles; Appliances preventing or indicating unauthorised use or theft of cycles; Locks integral
with cycles; Devices for learning to ride cycles ",,,,,,,
,,B62J,"Cycle saddles or seats; Accessories peculiar to
cycles and not otherwise provided for, e.g. article
carriers or cycle protectors",,,,,,,
,,B62K,"Cycles; Cycle frames; Cycle steering devices; Rider-operated terminal controls specially adapted
for cycles; Cycle axle suspensions; Cycle sidecars, forecars, or the like",,,,,,,
,,B62L,Brakes specially adapted for cycles,,,,,,,
,,B62M,"Rider propulsion of wheeled vehicles or sledges;
Powered propulsion of sledges or cycles;
Transmissions specially adapted for such vehicles",,,,,,,
B63B,Ships and Related Equipment ,B63B,"Ships or other waterborne vessels; Equipment for
shipping",,,,,,,
,,B63C,"Launching, hauling-out, or dry-docking of vessels; Life-saving in water; Equipment for dwelling or
working under water; Means for salvaging or
searching for underwater objects",,,,,,,
,,B63G,"Offensive or defensive arrangements on vessels; Mine-laying; Mine-sweeping; Submarines;
Aircraft carriers",,,,,,,
,,B63H,Marine propulsion or steering,,,,,,,
,,B63J,Auxiliaries on vessels,,,,,,,
B64C,Aeroplanes and Helicopters (incl. their equipment and parts),B64B,Lighter-than-air aircraft.,,,,,,,
,,B64C,Aeroplanes; Helicopters,,,,,,,
,,B64D,"Equipment for fitting in or to aircraft; Flying suits; Parachutes; Arrangements or mounting of power
plants or propulsion transmissions in aircraft",,,,,,,
,,B64F,"Ground or aircraft-carrier-deck installations
specially adapted for use in connection with
aircraft; Designing, manufacturing, assembling,
cleaning, maintaining or repairing aircraft, not
otherwise provided for; Handling, transporting,
testing or inspecting aircraft components, not
otherwise provided for",,,,,,,
B64G,,B64G,Cosmonautics; Vehicles or equipment therefor .,,,,,,,
,,F03H,"Producing a reactive propulsive thrust, not
otherwise provided for",,,,,,,
B65B,Apparatus for Packaging and (un)Packing,B65B,"Machines, apparatus or devices for, or methods of, packaging articles or materials; Unpacking",,,,,,,
,,B65C,"Labelling or tagging machines, apparatus, or
processes",,,,,,,
,,B67C,"Filling with liquids or semiliquids, or emptying, of
bottles, jars, cans, casks, barrels, or similar
containers, not otherwise provided for; Funnels",,,,,,,
B65D,"Packaging, Containers and Accessories and Fittins therefor",A45D,"Hairdressing or shaving equipment; Manicuring or
other cosmetic treatment",,,,,,,
,,A47G,Household or table equipment,,,,,,,
,,B27J,"Mechanical working of cane, cork or similar materials",,,,,,,
,,B31B,"Making containers of paper, cardboard or material
worked in a manner analogous to paper ",,,,,,,
,,B31C,"Making wound articles, e.g. wound tubes, of
paper, cardboard or material worded in a manner analogous to paper",,,,,,,
,,B31D,"Making articles of paper, cardboard or material
worked in a manner analogous to paper, not
provided for in subclasses B31B Or B31C ",,,,,,,
,,B43M,Bureau accessories not otherwise provided for,,,,,,,
,,B44D,"Painting or artistic drawing, not otherwise provided for; Preserving paintings; Surface treatment to obtain special artistic surface effects
or finishes",,,,,,,
,,B65D,"Containers for storage or transport of articles or
materials, e.g. bags, barrels, bottles, boxes, cans,
cartons, crates, drums, jars, tanks, hoppers,
forwarding containers; Accessories, closures, or
fittings therefor; Packaging elements; Packages",,,,,,,
,,B65F,Gathering or removal of domestic or like refuse,,,,,,,
,,B67B,"Applying closure members to bottles, jars, or
similar containers; Opening closed containers",,,,,,,
,,B67D,"Dispensing, delivering, or transferring liquids, not otherwise provided for",,,,,,,
,,C12L,Pitching or depitching machines; Cellar tools,,,,,,,
,,F17C,"Vessels for containing or storing compressed,
liquefied, or solidified gases; Fixed-capacity gas-
holders; Filling vessels with, or discharging from
vessels, compressed, liquefied, or solidified gases",,,,,,,
,,F24V,"Collection, production or use of heat not otherwise provided for",,,,,,,
B65G,Transport or Storage Devices (eg conveyers),B07C,"Postal sorting; Sorting individual articles, or bulk
material fit to be sorted piece-meal, e.g. by picking ",,,,,,,
,,B25J,"Manipulators; Chambers provided with
manipulation devices",,,,,,,
,,B61B,"Railway systems; Equipment therefor not
otherwise provided for ",,,,,,,
,,B61J,Shifting or shunting of rail vehicles,,,,,,,
,,B62B,Hand Propelled Vehicles,,,,,,,
,,B65G,"Transport or storage devices, e.g. conveyors for loading or tipping, shop conveyor
systems or pneumatic tube conveyors",,,,,,,
